Country_Wave,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
IND,1572.15851537746,1688.53025104628,1753.23556790086,1847.38391494831,2001.88773704167,2087.48205611449,2197.35309902738,2275.5922325101,2460.13412258396,2681.21665673687,2936.89887791468,3222.01449454838,3510.96399214374,3636.96935438891,3892.56790764167,4216.18399255719,4467.46665450288,4835.47766479595,5032.5939754797,5211.57032148735,5446.18876600773,5823.48154201989,6169.49991773557,6742.70791317792,7181.52265434956,6997.35839326271,8087.9938026769,9199.56773871747
IDN,4490.26474609361,4850.79079810109,5084.19193645535,4397.09020323208,4427.67447431125,4682.49661632627,4892.89521316026,5121.67383718702,5399.72430605586,5750.20474318637,6189.56886010365,6644.53394048679,7162.98435538073,7639.91909805842,7941.24369577021,8431.82176525356,9022.72137960157,9624.58823162978,9966.38293498244,10168.6760599231,10132.3160820285,10371.4423255308,10802.7126044355,11494.9448505557,12115.7020653839,11856.9433255703,12897.1031444698,14445.6431557921
IRN,9082.7818747262,9708.11144685186,9867.56758698182,10028.5794018569,10211.1308955615,10872.4735564886,11190.2306654866,12163.2243538306,13350.4833670343,14074.7481427257,14739.8509589369,15709.4028961904,17199.1076192024,17335.0057458623,17379.5725225039,18351.1407879424,18981.2307962314,16757.1920745738,15939.6805287849,15704.9164160443,13828.4385744264,14661.8394415995,15163.292311303,14926.3067104701,13423.5763123467,14180.3533093139,15042.3741124724,16591.2645722543
IRQ,4570.62708097778,5002.36747791338,5978.3263650711,7897.21821315956,9113.81236828065,10539.8345435235,10623.3059913369,9590.94084842209,6008.845770265,9195.89122321294,9360.63773742558,10121.157509769,10681.8120678656,11558.6331325433,11597.9469999856,12100.6343591699,12825.6374233096,14312.8922718632,14585.9393415069,13097.8544982744,9285.69508851384,9025.56885657337,10118.6581530544,11938.0220253228,12139.1567751107,10464.5116333559,12596.5264858209,14199.6073618433
JOR,5357.90396691271,5387.99696942044,5512.73726051929,5611.34227021464,5757.22250727507,6009.66472712094,6334.59708681678,6660.35139823244,6916.41058205995,7520.89863613875,8172.77832834768,8511.54773600395,8875.62454955401,9466.70581282106,9785.81643839825,9913.59075369226,10133.7715158402,10245.2751214976,10195.4875963829,9285.87606712926,9014.75990026486,8784.49630736781,9282.60808622535,9044.50802692931,9405.42015951739,9523.5481711861,9115.01951145213,9871.87515275746
JPN,23859.0660539005,25000.533923594,25620.0681023794,25509.899595486,25735.9710911517,27287.2701912718,27942.346651133,28623.5884479367,29392.2489916186,30830.6584466434,32169.867493646,33634.6317066787,35015.9865745127,35273.791152156,33547.2834245767,35335.3735103814,36214.4397740241,37605.9742614539,39402.0250988025,39555.4120089198,40898.80697396,40596.9686628994,41444.2157443914,42141.9352987759,42678.1511448355,42438.44646009,44549.3383411434,47118.3882748258
KGZ,1401.17340862974,1505.4611974037,1658.894170014,1687.05294307112,1747.31401579638,1861.8511534459,1986.15051380579,1998.23948218493,2158.20009749438,2343.43640812972,2385.61294881726,2508.37546996859,2769.88719813103,3031.51059955411,3100.58718145983,3086.43176939893,3297.36683733652,3617.40110358208,4041.22021658751,4279.16679979308,4211.34227261594,4676.33388651462,5040.42958650705,4869.58849242256,5414.32715295984,5294.01574693325,5802.38897216037,6572.38276138415
KOR,13502.5827420794,14694.0962445008,15721.7056576921,14974.6595747118,16807.1294764195,18538.8355325592,19724.4259457229,21396.8377455369,22095.870826347,23773.8286536781,25186.8675668092,26884.2673283358,29064.9180846867,29946.0774891302,29508.3815060615,31736.6284370925,32546.7536531234,33557.1287196434,34244.3121393117,35324.4976704773,37902.4004037578,39575.4542830031,40957.4180587145,43044.2917633371,43865.0416366745,45142.7634505403,48571.4322096427,51621.9292633937
MAR,3129.13452148438,3526.54907226563,3478.92602539063,3717.88403320313,3780.8291015625,3912.57788085938,4252.19970703125,4421.0478515625,4726.94384765625,5011.44775390625,5262.01416015625,5768.9677734375,6048.78466796875,6430.9365234375,6625.501953125,6848.36962890625,7275.17041015625,7307.21337890625,7537.4130859375,7227.0126953125,7781.69189453125,7833.41552734375,8095.3681640625,7780.99169921875,8024.4052734375,7681.83544921875,8581.330078125,9205.3359375
MDA,3145.94580506076,3021.30988328912,3135.60702538201,2964.60151655769,2909.85034994916,3044.67050577829,3310.52882631493,3632.61091824739,3959.95150992652,4378.17475787963,4865.93456424698,5271.38970423064,5589.56850765202,6153.35152138081,5827.17888885563,6323.06287899041,6832.94156502961,7254.66249032313,8232.5238047368,8643.06431435343,9197.61838204272,10325.8404896126,11252.1135465283,11868.1955463223,13413.2232935126,13527.4413130967,15682.0703284653,16301.7656869971
MEX,9021.74136151864,9585.91215215976,10274.0927045684,10847.922185674,11119.9356442352,11794.3236037342,11821.965971039,11835.4929333327,12130.8527334082,12712.4087324602,13306.6563942874,14591.5841615095,15097.2879039153,15779.1903681712,15322.6333239725,16063.1663296244,17432.1475065559,18170.0246436426,18333.3743788853,18983.778991974,19217.8587938152,20225.7102413024,20582.2523670259,21015.9257539431,21095.7136967365,19473.0884906874,21131.9157582539,23859.1256428872
MYS,10823.3791860602,11800.4076478997,12543.3213027431,11448.3572778047,12015.4955937696,13040.1421226118,13062.7093458526,13633.4382033206,14352.4664609957,15369.2697164734,16316.1895281443,17366.2096374517,18552.066807191,19413.5227506048,18860.6644564249,20149.8444781417,21308.2157821446,22640.5396800481,23191.2189268332,24377.7401948852,24655.8317125486,25496.9751341353,26729.3847379976,28232.5235110203,29495.4035170304,28045.3873552765,30456.0928951741,35040.3100931894
NGA,2150.43136851747,2284.95275852091,2375.30557981436,2451.79915300842,2621.74438016447,2751.14367885396,2857.59349176092,2887.05070709114,2981.94103210915,3186.97828790275,3384.64647979949,3584.55571414072,3814.98076183187,3965.26777429232,3802.98535874619,3960.535863455,4234.82708244732,4411.25945669613,4606.22711772701,4951.68867450282,5319.83188779857,5738.23682974353,6067.52953852853,5779.70699947814,5819.31518544463,6075.55881396054,6873.73117748359,7526.2903841613
NZL,17885.3537056542,18441.6345459801,19127.3004126074,19319.9835645765,20579.365916514,21500.6292898099,22521.0409382492,23306.2795376277,23987.3688944924,25096.6858778485,25677.4190803252,27744.0617198326,29353.5006283723,29827.1425475385,30682.9538757235,31214.0510925451,32702.1461450023,32989.3681569621,36243.2439727716,37297.8134848978,37488.0496359613,39946.2344308563,42206.923421304,42499.3779260836,45163.6964269884,45283.4680496217,48194.0410599758,52327.6991246007
