"","Dim1","Dim2","Cluster","Country_Wave","Distance_to_Cluster_1","Country","Wave"
"68",26.2631122131172,-0.865590786607837,"1","DEU5",0,"DEU",5
"69",25.4974641165911,-1.87886833422317,"1","DEU6",0,"DEU",6
"70",36.9735454605521,-11.8243643844063,"1","DEU7",0,"DEU",7
"71",1.12158177702928,-7.50640378702632,"2","DOM3",4.82450421969477,"DOM",3
"72",-15.4153512401581,-4.72330918151725,"3","DZA4",21.5382983889242,"DZA",4
"73",-12.0566961775165,7.88724420917412,"2","DZA6",23.2353889067583,"DZA",6
"74",-9.37646891796448,2.16969378429995,"2","ECU6",18.3979126945541,"ECU",6
"75",-6.38265517074529,11.4452256586445,"2","ECU7",19.585574226293,"ECU",7
"76",-25.3870474646984,-12.7601420023241,"3","EGY4",31.2716682259556,"EGY",4
"77",-35.9473022591182,-0.548404342673516,"3","EGY5",42.4902945846095,"EGY",5
"78",-31.9939377394237,11.148283134402,"3","EGY6",42.693565726973,"EGY",6
"79",-27.8351066176009,-4.36990963433756,"3","EGY7",33.8400993302377,"EGY",7
"80",9.49820516075136,3.73537054930102,"2","ESP2",1.93487837807029,"ESP",2
"81",13.3130124124131,1.71016387643844,"1","ESP3",0,"ESP",3
"82",19.9433321742457,1.82607443895492,"1","ESP4",0,"ESP",4
"83",23.8222248491785,1.27041072322065,"1","ESP5",0,"ESP",5
"84",17.903503198887,-1.98565371919921,"1","ESP6",0,"ESP",6
"85",6.7569078881057,5.85963814672473,"2","EST3",5.31557669994555,"EST",3
"86",7.91447505637001,3.42875939631912,"2","EST6",3.24250685772305,"EST",6
"87",-4.05218668049244,-25.237682847536,"3","ETH5",16.8863733141045,"ETH",5
"88",-17.6340308556637,-6.89232997509871,"3","ETH7",23.410584540096,"ETH",7
"89",4.98435255630475,-0.262033727834461,"2","FIN1",4.34731841964452,"FIN",1
"90",24.1069769619586,1.96120549345412,"1","FIN3",0,"FIN",3
"91",20.0487785085322,-2.39763006712849,"1","FIN5",0,"FIN",5
"92",28.7874313514091,4.53672633820059,"1","FRA5",0,"FRA",5
"93",8.46249064007193,-0.463094864298412,"2","GBR3",1.10755547130963,"GBR",3
"94",22.0894160905745,-1.44098110031731,"1","GBR5",0,"GBR",5
"95",-11.8091844392816,4.31803744166069,"2","GEO3",21.5088169686443,"GEO",3
"96",-14.1778984931206,-8.81264770760385,"3","GEO5",19.851246404853,"GEO",5
"97",-14.1362295302079,-9.11181925667423,"3","GEO6",19.8073208709054,"GEO",6
"98",-21.7348442218269,-8.28952439997683,"3","GHA5",27.4182731159029,"GHA",5
"99",-18.5576381860042,-9.1350407206081,"3","GHA6",24.2287405260571,"GHA",6
"100",14.0744093629622,-10.5802152926335,"1","GRC7",0,"GRC",7
"101",-12.4941479418819,10.3383556295646,"2","GTM5",24.6637296509147,"GTM",5
"102",1.97257725515036,10.5458030139612,"2","GTM7",11.6277215500775,"GTM",7
"103",13.7872653040363,10.4748224138732,"2","HKG5",0.880303780892416,"HKG",5
"104",9.69724868371395,2.82721708764997,"2","HKG6",1.37213637747936,"HKG",6
"105",15.0352045019141,4.88385643896828,"1","HKG7",0,"HKG",7
