A001,A002,A003,A004,A005,A006,D057,D059,D060,F115,F116,F117,F118,F119,F120,F121,F122,F123,E114,E115,E116,E117,E012,E015,E016,E018,E023,E025,E026,E027,E028,E033,E035,E036,E037,E039,E040,B008,Country_Wave,Years,Crime_Rate,GDP_growth,GDP_pc,Unemp_Rate,Education
1.03333333333333,1.88464118041583,2.09485094850949,2.41476880607315,1.08914209115281,1.13855421686747,2.87861271676301,2.15582655826558,2.19298245614035,1.15954606141522,1.05886287625418,1.0307486631016,1.05078929306795,1.15863453815261,1.3021534320323,1.54709418837675,1.08489304812834,1.01603206412826,3.47345767575323,2.13987022350397,3.25092250922509,1.33610533610534,0.958146487294469,2.78255033557047,1.13020134228188,1.09792085848424,2.64156206415621,2.290036900369,2.47749809305873,2.45307692307692,2.69154607768469,7.56065857885615,7.56028368794326,5.30731014904187,5.56404812455768,2.87062187276626,4.3503384372285385,1.45969498910675,BGD4,"[2000, 2001, 2002, 2003, 2004]",2.6693261077436636,4.836561348810764,1734.491010178292,3.795,
1.015,2.0685618729097,2.19175777964676,3.07632933104631,1.22259414225941,1.06766917293233,2.25236864771749,2.21354166666667,2.57352941176471,1.80083333333333,1.70083333333333,1.6075,1.6875,1.6,2.02166666666667,2.17,2.7775,1.9,3.26156751652502,2.48148148148148,2.8693234476367,1.61454545454545,0.953982300884956,2.80520570948783,1.17217391304348,1.25378450578807,2.96771452846219,2.46325581395349,2.77151335311573,2.39906542056075,2.67843511450382,7.17166666666667,3.96166666666667,4.98083333333333,6.73583333333333,3.43666666666667,3.34833333333333,1.52343059239611,BGD7,"[2017, 2018, 2019, 2020, 2021, 2022]",2.2667027658713,6.546350538443272,6453.590588338148,4.4825,10.53314
1.17975903614458,1.87918486171761,1.98265609514371,2.71344455348381,1.69941060903733,2.3943661971831,2.19485108531045,2.02018633540373,2.58979591836735,4.10450718177315,3.40279937791602,2.04440059200789,2.16639027086788,2.46956087824351,4.64889800102512,5.24636226793778,6.24240780911063,2.1835187057634,2.40599455040872,2.42926829268293,3.29741616272677,2.00579374275782,0.877979568671964,2.46914225941423,1.2058087130696,1.3749349973999,2.43044747081712,2.52610441767068,2.7419028340081,2.29016312407316,2.82503770739065,5.26409017713366,6.62569832402235,6.14120603015075,7.20725134737874,3.71451104100946,4.46307385229541,1.49189491335942,BLR3,"[1995, 1996, 1997, 1998]",9.572388779587625,7.533333809715853,4390.878796571605,3.0,10.115045
1.13015042511445,1.72536136662286,1.88822751322751,2.81782178217822,1.83563445101907,2.53100263852243,1.73149967256058,2.14783180026281,3.05584756898817,3.77690802348337,2.77879581151832,2.34160679294579,2.43581303489138,2.97707924034054,3.84031413612565,5.33398692810457,3.840712700672423,1.66993464052288,2.52434210526316,2.35662491760053,3.41846758349705,1.8467583497053,0.780529461998292,2.31606557377049,1.35081967213115,1.57659434582512,2.71316306483301,2.154105145331952,2.551272283360683,2.3522650918683023,2.648430836799343,5.41232227488152,4.8843137254902,5.00130718954248,7.09268929503916,3.98432397126061,4.49477806788512,1.45850066934404,BLR6,"[2010, 2011, 2012, 2013, 2014]",3.6828456041419315,3.5187581269899253,17618.77120779142,0.525,11.090364
1.08056042031524,1.56529360210342,1.57180385288967,2.5237668161435,1.16900175131349,1.48729184925504,2.21511111111111,2.57564905998209,3.25462555066079,3.09938434476693,3.57862190812721,4.00965759438104,3.17125110913931,2.32744924977935,2.02640845070423,4.89973614775726,3.00088573959256,1.4625550660793,2.36688014638609,1.93290441176471,2.69660861594867,1.93333333333333,0.71841155234657,2.49604916593503,1.4608619173263,1.2182296231376,2.87434094903339,1.71327433628319,2.58242753623188,2.12214411247803,2.7215859030837,5.9019019019019,5.71883289124668,5.21336996336996,5.45623342175066,3.43274336283186,6.82658450704225,1.55535390199637,BRA3,"[1995, 1996, 1997, 1998]",23.19441267255065,2.5414003928520916,8306.841853849673,8.57,
1.14266666666667,1.76588628762542,1.90154052243804,2.48352387357095,1.35938543754175,1.5954606141522,2.45955132562882,2.78787878787879,3.14658634538153,3.96153846153846,3.64642375168691,1.85433604336043,4.27612456747405,3.10251188051595,2.41621621621622,5.62703804347826,3.44308111792774,1.79582210242588,2.2748457847841,2.04979253112033,2.83866481223922,1.81994459833795,0.611071682044003,2.28734092431346,1.38169491525424,1.26139410187668,2.64518317503392,1.6144578313253,2.58997252747253,2.23687752355316,2.648430836799343,5.43138686131387,5.6751677852349,5.41412084181942,6.69489247311828,4.19225543478261,4.72169811320755,1.41480446927374,BRA5,"[2005, 2006, 2007, 2008]",25.63903788970485,4.582046706475305,12095.181528323576,9.447750000000001,
1.13400673400673,1.85569790964262,1.81351351351351,2.75186440677966,1.39312204989885,1.59568733153639,2.56440443213296,2.83368421052632,3.20367847411444,3.23481228668942,2.5594262295082,1.53689911983751,4.64290805416964,3.00486111111111,2.28201634877384,6.2239010989011,2.47095435684647,1.62932790224033,2.19585418155826,1.94014598540146,2.84179543782193,1.92893401015228,0.489985693848355,2.27892561983471,1.37517531556802,1.28992460589445,2.96761133603239,1.79515570934256,2.69590643274854,2.31280276816609,2.39226519337017,5.37121212121212,5.06927297668038,5.27145847871598,7.02040816326531,3.75231316725979,4.21834360027379,1.35891812865497,BRA6,"[2010, 2011, 2012, 2013, 2014]",27.7442728794628,3.3865206586105194,15048.48441698866,7.163749999999999,12.361676666666668
1.16969353007946,1.79476975554292,1.82762557077626,2.69421965317919,1.43970420932878,1.73561253561254,2.47406955460647,2.99091459721381,3.16907097518754,3.54791299235744,2.99590163934426,1.5747392815759,4.9468791500664,3.21170610211706,2.50626118067979,6.22156045265039,3.1969040247678,2.05419892793329,2.22354497354497,1.96239086635326,2.69383561643836,1.79131007241606,0.484197218710493,2.06041055718475,1.40023894862605,1.32485207100592,2.89792387543253,1.72634116937914,2.56791720569211,2.18489425981873,2.22121760096444,5.40819964349376,5.08377581120944,4.92457420924574,7.45174418604651,3.76516052318668,4.63556338028169,1.38409703504043,BRA7,"[2017, 2018, 2019, 2020, 2021, 2022]",25.105894844129825,2.421322474460528,16338.455190641935,12.190833333333332,12.51743
1.07209543568465,1.41856846473029,1.75168831168831,2.68590743629745,1.6314419573139,2.12422037422037,1.876956287102,3.06977992485239,3.37851929092805,2.22964509394572,2.01612064482579,1.55070202808112,5.48417030567686,3.31784582893347,4.48859416445623,6.04354669464848,5.62863180137348,2.7776008492569,3.16875340228634,2.6602634467618,3.6733153638814,1.64092446448703,0.659025787965616,2.08303061754022,1.54153686396677,1.3920041536864,2.65715767634855,1.33455305802405,2.19797764768494,2.20402755696873,2.58231220031966,5.49069069069069,5.33594566353187,3.89064976228209,4.86311389759666,3.65969681129117,4.3503384372285385,1.44010840108401,CAN4,"[2000, 2001, 2002, 2003, 2004]",1.8238612085546062,2.9823283274157033,31367.21404146924,7.2944,12.08464
1.06589327146172,1.38333333333333,1.69095127610209,2.56328233657858,1.71821145784816,2.17961842717543,1.91826923076923,3.08353452438436,3.36321411983279,2.2232601588043,1.8134328358209,1.54553946753853,5.74974924774323,3.24312590448625,4.61419604056012,6.10223490252021,5.30199707744764,2.75503190967108,3.23844282238443,2.79833169774289,3.63965267727931,1.56299603174603,0.592708333333333,1.96092619392185,1.44925444925445,1.35280151946819,2.57792207792208,1.35505193578848,2.20396326727888,2.09578544061303,2.648430836799343,5.42610837438424,5.64424443391757,4.35054080629302,5.04957507082153,3.83776091081594,4.01456766917293,1.35700197238659,CAN5,"[2005, 2006, 2007, 2008]",1.898764430456765,2.223427269501592,38599.833811239376,6.4205,12.010525
